Anaesthetist 	n
Anaesthetize 	v
Anagram 	n
Anal 	adj
Analgesia 	n
Analog 	n
Analogize 	v
Analogous 	adj
Analogue 	n
Analogy 	n
Analogy 	n
Analyse 	v
Analysis 	n
Analyst 	n
Analytical 	adj
Analyze 	n
Anapaest 	n
Anarchism 	n
Anarchist 	n
Anarchy 	n
Anathema 	n
Anathematize 	v
Anatomy 	n
Anatto 	var
Anc 	abbr
Ancestor 	n
Ancestral 	adj
Ancestry 	n
Anchorage 	n
Anchorite 	n
Anchorman 	n
Anchovy 	n
Ancient 	adj
And 	conj
Andante 	mus
Andiron 	n
Andiron 	n
Androgynous 	adj
Android 	n
Anecdote 	n
Anemia 	n
Anemic 	adj
Anemometer 	n
Anemone 	n
Anesthesia 	n
Aneurysm 	n
Anew 	adv
Angel 	n
Angel cake 	n
Angel-fish 	n
Angelic 	adj
Angelica 	n
Angelus 	n
Angina 	n
Angiosperm 	n
Angle 	n
Anglicism 	n
Anglicize 	v
Anglo- 	comb
Anglophile 	n
Angora 	n
Angostura 	n
Angry 	adj
Angst 	n
Angstrom 	n
Anguish 	n
Angular 	adj
Anhydrous 	adj
Aniline 	n
Animadvert 	v
Animalism 	n
Animality 	n
Animalize 	v
Animated 	adj
Animation 	n
Animism 	n
Animosity 	n
Animus 	n
Anion 	n
Anise 	n
Aniseed 	n
Ankle 	n
Anklet 	n
Ankylosis 	n
Annals 	n
Annatto 	n
Anneal 	v
Annelid 	n
Annex 	v
Annexe 	n
Annihilate 	v
Anniversary 	n
Anno domini 	adv
Annotate 	v
Announce 	v
Announcer 	n
Annoy 	v
Annualized 	adj
Annuity 	n
Annul 	v
Annular 	adj
Annular eclipse 	n
Annulate 	adj
Annunciation 	n
Anode 	n
Anodize 	v
Anoint 	v
Anomalous 	adj
Anomaly 	n
Anon 	adv
Anonymous 	adj
Anorak 	n
Anorexia 	n
Answerable 	adj
Answering machine 	n
Answerphone 	n
Ant 	n
Antagonism 	n
Antagonist 	n
Antagonize 	v
Antarctic circle 	n
Anteater 	n
Antechamber 	n
Antedate 	v
Antediluvian 	adj
Antelope 	n
Antenatal 	adj
Antenna 	n
Antepenultimate 	adj
Ante-post 	adj
Anterior 	adj
Ante-room 	n
Anthem 	n
Anther 	n
Anthill 	n
Anthology 	n
Anthracite 	n
Anthrax 	n
Anthropocentric 	adj
Anthropology 	n
Anthropomorphism 	n
Anthropomorphous 	adj
Anti-abortion 	adj
Anti-aircraft 	adj
Antibody 	n
Antic 	n
Antichrist 	n
Anticipate 	v
Anticlerical 	adj
Anticlimax 	n
Anticlockwise 	adj
Anticyclone 	n
Antidote 	n
Antifreeze 	n
Antigen 	n
Anti-hero 	n
Antihistamine 	n
Antiknock 	n
Anti-lock 	attrib
Antilog 	n
Antilogarithm 	n
Antimacassar 	n
Antimatter 	n
Antimony 	n
Antinomy 	n
Antinovel 	n
Anti-nuclear 	adj
Antiparticle 	n
Antipathy 	n
Antiperspirant 	n
Antiphon 	n
Antipodes 	n
Antipope 	n
Antiquary 	n
Antiquated 	adj
Antiquity 	n
Antirrhinum 	n
Anti-semite 	n
Antiserum 	n
Antisocial 	adj
Antistatic 	adj
Anti-tank 	attrib
Antitetanus 	adj
Antithesis 	n
Antitoxin 	n
Antitrades 	n
Antiviral 	adj
Antler 	n
Antonym 	n
Antrum 	n
Anus 	n
Anvil 	n
Anxiety 	n
Anxious 	adj
Anybody 	n
Anyhow 	adv
Anyone 	pron
Anything 	pron
Anyway 	adv
Aob 	abbr
Aorta 	n
Apace 	adv
Apache 	n
Apart 	adv
Apartheid 	n
Apartment 	n
Apathy 	n
Apeman 	n
Aperitif 	n
Aperture 	n
Apex 	n
Apex 	n
Aphasia 	n
Aphelion 	n
Aphid 	n
Antitrades 	n
Antiviral 	adj
Antler 	n
Antonym 	n
Antrum 	n
Anus 	n
Anvil 	n
Anxiety 	n
Anxious 	adj
Anybody 	n
Anyhow 	adv
Anyone 	pron
Anything 	pron
Anyway 	adv
Aob 	abbr
Aorta 	n
Apace 	adv
Apache 	n
Apart 	adv
Apartheid 	n
Apartment 	n
Apathy 	n
Apeman 	n
Aperitif 	n
Aperture 	n
Apex 	n
Apex 	n
Aphasia 	n
Aphelion 	n
Aphid 	n
Aphis 	n
Aphorism 	n
Aphorism 	n
Apiary 	n
Apical 	adj
Apiculture 	n
Apiece 	adv
Apish 	adj
Aplomb 	n
Apocalypse 	n
Apocrypha 	n
Apocryphal 	adj
Apogee 	n
Apolitical 	adj
Apologia 	n
Apologist 	n
Apologize 	v
Apology 	n
Apophthegm 	n
Apoplectic 	adj
Apoplexy 	n
Apostasy 	n
Apostate 	n
Apostle 	n
Apostolate 	n
Apostolic 	adj
Apostolic succession 	n
Apostrophe 	n
Apothecary 	n
Apotheosis 	n
Appal 	v
Apparatus 	n
Apparel 	n
Apparent 	adj
Apparent 	adj
Apparition 	n
Appear 	v
Appearance 	n
Appease 	v
Appellant 	n
Appellate 	attrib
Appellation 	n
Appellative 	adj
Append 	v
Appendage 	n
Appendectomy 	n
Appendicitis 	n
Appendix 	n
Appertain 	v
Appetite 	n
Appetizer 	n
Appetizing 	adj
Applaud 	v
Applause 	n
Apple 	n
Apple-pie bed 	n
Apple-pie order 	n
Appliance 	n
Applicable 	adj
Applicant 	n
Application 	n
Applicator 	n
Applied 	adj
Apply 	v
Apply 	v
Appoint 	v
Appointment 	n
Apportion 	v
Apposite 	adj
Apposition 	n
Appraisal 	n
Appraise 	v
Appreciable 	adj
Appreciate 	v
Appreciation 	n
Apprehend 	v
Apprehension 	n
Apprehensive 	adj
Apprise 	v
Appro 	n
Approachable 	adj
Approbation 	n
Approval 	n
Approve 	v
Appurtenance 	n
Apr 	abbr
April 	n
April fool 	n
Apron 	n
Apse 	n
Apsis 	n
Apt 	adj
Aptitude 	n
Aqua 	n
Aqua fortis 	n
